seeds._ids,seeds.title,seeds.description,seeds.claimed,seeds.due_week,seeds.status,seeds.nugget_published,seeds.email_sent_at,seeds.account_id,seeds.added_by_id,seeds.topic_id,seeds.format_id,seeds.updated_at,seeds.created_at,links.url,youtube.id,youtube.viewCount,youtube.likeCount,youtube.dislikeCount,youtube.favoriteCount,youtube.commentCount
52d08044bf62a8066d0003b7,interviews on what eating disorders are with people who have had / currently have them,This was Timed Out because it sat untouched for over 60 days. Wanna use it? Ping an editor. This was Timed Out because it sat untouched for over 60 days. Wanna use it? Ping an editor. This was Timed Out because it sat untouched for over 60 days. Wanna use it? Ping an editor. This was Timed Out because it sat untouched for over 60 days. Wanna use it? Ping an editor. This was Timed Out because it sat untouched for over 60 days. Wanna use it? Ping an editor. This was Timed Out because it sat untouched for over 60 days. Wanna use it? Ping an editor. This was Timed Out because it sat untouched for over 60 days. Wanna use it? Ping an editor. This was Timed Out because it sat untouched for over 60 days. Wanna use it? Ping an editor. This was moved to unassigned because it sat untouched for over 60 days. Wanna use it? Ping an editor.,NULL,NULL,timedout,NULL,2014-03-13 00:00:00 +0000,NULL,5192a319192c830014009cb3,50ef580097bf9f000200001e,50ef580097bf9f000200003f,2014-03-21 05:01:47 +0000,2014-01-10 23:20:36 +0000,www.youtube.com/watch?v=AeWtzfyH5fw,AeWtzfyH5fw,,,,,
52eea921bf50b4711200000f,Universal Declaration of Human Rights with music and typography,"Also in Farsi, French, Spanish, and Icelandic. Provide hyperlinks in attribution.",NULL,2014-03-15 00:00:00 +0000,approved,NULL,NULL,5192a341f62409164d005597,5192a341f62409164d005597,50ef580097bf9f0002000016,50ef580097bf9f000200003f,2014-03-18 22:41:20 +0000,2014-02-02 20:22:57 +0000,www.youtube.com/watch?v=AFmGZy4JXxc,AFmGZy4JXxc,,,,,
5310cf4910a5f2d06c00005a,"The ""Natural"" Effect - not organic...",NULL,NULL,2014-03-07 00:00:00 +0000,approved,NULL,NULL,5192a6b3f62409001800e5ed,5192a6b3f62409001800e5ed,50ef580097bf9f000200001e,50ef580097bf9f000200003f,2014-03-18 22:41:30 +0000,2014-02-28 18:02:49 +0000,www.youtube.com/watch?v=AftZshnP8fs,AftZshnP8fs,,,,,
5241a467ba25ee8a4000808d,VIDEO: Panera Bread Founder Ron Shaich Speaks to Boston Tea Party Gr,NULL,NULL,2014-02-28 00:00:00 +0000,approved,NULL,NULL,5192a2df9df75720be0015d4,5192a2df9df75720be0015d4,50ef580097bf9f000200002d,50ef580097bf9f000200003f,2014-03-18 22:40:59 +0000,2013-09-24 14:40:39 +0000,www.youtube.com/watch?v=agfKfR7Jz-Y,agfKfR7Jz-Y,,,,,
52deb359472ead3b32000016,video on anorexia,NULL,NULL,NULL,approved,NULL,NULL,5192a319192c830014009cb3,5192a319192c830014009cb3,50ef580097bf9f000200001e,50ef580097bf9f000200003f,2014-03-18 22:41:16 +0000,2014-01-21 17:50:17 +0000,www.youtube.com/watch?v=ah9jr19fTmM,ah9jr19fTmM,,,,,
52dfce739b73540b5200000a,Sarah Silverman talks with Jesus Christ about reproductive rights,NULL,NULL,2014-01-24 00:00:00 +0000,approved,NULL,2014-01-22 00:00:00 +0000,5192a63cbf9323030b005a00,5192a6b3f62409001800e5ed,NULL,50ef580097bf9f000200003f,2014-03-18 22:41:17 +0000,2014-01-22 13:58:11 +0000,www.youtube.com/watch?v=ahdR6aHQvMQ,ahdR6aHQvMQ,,,,,
523672f2da0987035d0014fc,VIDEO: The Best Advice Dr. Maya Angelou Has Ever Given—and Received,NULL,NULL,2014-02-28 00:00:00 +0000,approved,NULL,NULL,5192a2df9df75720be0015d4,5192a2df9df75720be0015d4,5196b7190fa6380002000001,50ef580097bf9f000200003f,2014-03-18 22:40:59 +0000,2013-09-16 02:54:42 +0000,www.youtube.com/watch?v=aHvTWvKIPHo,aHvTWvKIPHo,,,,,
52d75a6f4f12d03f2d000956,Reserved: Modern slavery in electronics,Licensed video! Use the second link. Ping Gabe before publishing.,NULL,2014-03-26 00:00:00 +0000,approved,NULL,2014-03-19 00:00:00 +0000,5192a3c6e36cf87029001c3a,523a67ad9a562ad05300ce80,50ef580097bf9f0002000023,50ef580097bf9f000200003f,2014-03-19 18:35:15 +0000,2014-01-16 04:05:03 +0000,www.youtube.com/watch?v=aJ61qq2wnYQ,aJ61qq2wnYQ,,,,,
532875eb754725e88e000071,Walk Free - Join The Movement To End Modern Slavery,Licensed video! Use first seed. Ping Gabe before publishing.,NULL,2014-03-24 00:00:00 +0000,nuggetized,NULL,NULL,5273b93ad6afba2a45003b24,523a681de2269b946a00c806,50ef580097bf9f0002000023,50ef580097bf9f000200003f,2014-03-20 21:50:38 +0000,2014-03-18 16:35:55 +0000,www.youtube.com/watch?v=akc99rDuGy0,akc99rDuGy0,,,,,
527aaad975181d3634002fe0,"One Veteran Spoke The Truth And Totally Stunned The Crowd, Then He Brought Them To Their Feet",NULL,NULL,2013-11-11 00:00:00 +0000,nuggetized,NULL,NULL,5192a6b3f62409001800e5ed,5192a6b3f62409001800e5ed,51ad21c3fc364fab25000001,50ef580097bf9f000200003f,2014-03-14 00:06:27 +0000,2013-11-06 20:47:21 +0000,www.youtube.com/watch?v=akm3nYN8aG8,akm3nYN8aG8,,,,,
5326a1d2c62317862b00001d,On Talking Black,NULL,NULL,NULL,approved,NULL,NULL,4f46522268796d0003000001,4f46522268796d0003000001,50ef580097bf9f0002000028,50ef580097bf9f0002000040,2014-03-18 22:41:18 +0000,2014-03-17 07:18:42 +0000,www.youtube.com/watch?v=AkQ0_QhrcOQ,AkQ0_QhrcOQ,,,,,
52544e438d60eadc85000069,VIdeo: Senate Chaplain,NULL,NULL,2014-02-28 00:00:00 +0000,approved,NULL,NULL,5192a2df9df75720be0015d4,5192a2df9df75720be0015d4,NULL,50ef580097bf9f000200003f,2014-03-18 22:41:00 +0000,2013-10-08 18:26:11 +0000,www.youtube.com/watch?v=A-M7oXWTPf0,A-M7oXWTPf0,,,,,
53288360d754c10030000002,"Short funny video about internet sensation ""whaling"" and real life whales",Carly says include links to the stuff they mention at the end so people can learn more,NULL,NULL,approved,NULL,2014-03-18 00:00:00 +0000,NULL,5192a68a9df75720be001e40,50ef580097bf9f000200001a,50ef580097bf9f000200003f,2014-03-18 22:41:37 +0000,2014-03-18 17:33:20 +0000,www.youtube.com/watch?v=amveQkeldTY,amveQkeldTY,,,,,
52e0b6e553930596b600000b,poop vs pee found in cigarettes,NULL,NULL,NULL,claimed,NULL,NULL,5192a3ec192c830019009743,5192a3ec192c830019009743,50ef580097bf9f000200001e,50ef580097bf9f000200003f,2014-03-14 00:06:24 +0000,2014-01-23 06:29:57 +0000,www.youtube.com/watch?v=aMWDm4oGuW0,aMWDm4oGuW0,,,,,
52e19fed2d5c6934bc000002,Ad shows how cigarette companies put pollutants in cigarettes,NULL,NULL,NULL,approved,NULL,NULL,5192a319192c830014009cb3,5192a319192c830014009cb3,50ef580097bf9f000200001e,50ef580097bf9f000200003f,2014-03-18 22:41:01 +0000,2014-01-23 23:04:13 +0000,www.youtube.com/watch?v=AOYAF9NxNvg,AOYAF9NxNvg,,,,,
52cb3879e50cafd3050004a7,"dove advert- fave part of your body do you love, women?",NULL,NULL,2014-04-30 00:00:00 +0000,approved,NULL,NULL,5192a3999df7570010002e23,5192a3999df7570010002e23,50ef580097bf9f000200001e,50ef580097bf9f000200003f,2014-03-18 22:41:08 +0000,2014-01-06 23:12:57 +0000,www.youtube.com/watch?v=APgEJoAYh0Y,APgEJoAYh0Y,,,,,
52d634c8e0beaa72bb001543,Jose Vargas talks about being an undocumented immigrant,NULL,NULL,2014-02-28 00:00:00 +0000,approved,NULL,NULL,5192a341f62409164d005597,5192a341f62409164d005597,50ef580097bf9f0002000021,50ef580097bf9f000200003f,2014-03-18 22:41:17 +0000,2014-01-15 07:12:08 +0000,www.youtube.com/watch?v=aPi3tMmHXIc,aPi3tMmHXIc,,,,,
52b613d32239387e54001b56,A Truly Absurd PSA With Zombies Makes No Sense Until You See The End. Then It's Awesome.,NULL,NULL,NULL,nuggetized,NULL,NULL,5192a319192c830014009cb3,5192a319192c830014009cb3,50ef580097bf9f000200001e,50ef580097bf9f000200003f,2014-03-14 00:06:33 +0000,2013-12-21 22:18:59 +0000,www.youtube.com/watch?v=ApmPQDAzYyM,ApmPQDAzYyM,,,,,
51b7cc09417660484800482a,"VIDEO: Black Woman Pretends to Be White, Job Offers Skyrocket","Found this in a compilation on this site: http://samuel-warde.com/2013/06/black-woman-poses-as-white-women-suddenly-jobscalls-come-rolling-in-video/ The original article that Yolanda Spivey wrote, about the incident: http://www.techyville.com/2012/11/news/unemployed-black-woman-pretends-to-be-white-job-offers-suddenly-skyrocket/ Let's make sure the article and experiment check out first. Approved pending fact check ~ Mansur",NULL,2013-06-21 00:00:00 +0000,claimed,NULL,NULL,5192a37061f55a138e000105,5192a37061f55a138e000105,50ef580097bf9f0002000028,50ef580097bf9f000200003f,2014-03-14 00:06:25 +0000,2013-06-12 01:16:57 +0000,www.youtube.com/watch?v=ApV0hszT-yo,ApV0hszT-yo,,,,,
527b14b56c48a8bfa100789b,Elizabeth Warren on ENDA,NULL,NULL,2014-01-31 00:00:00 +0000,approved,NULL,NULL,5192a2df9df75720be0015d4,5192a2df9df75720be0015d4,50ef580097bf9f0002000026,50ef580097bf9f000200003f,2014-03-18 22:40:55 +0000,2013-11-07 04:19:02 +0000,www.youtube.com/watch?v=ApXH5nN4h64,ApXH5nN4h64,,,,,
